ZIP,PARENT_METRO_REGION,market_score,market_category,Median_Income,county_adj,score_adj,max_ltv,MEDIAN_SALE_PRICE,HOMES_SOLD,MEDIAN_DOM
91501,"Los Angeles, CA",71.6007166132577,Prime,41289,-2,2,70,1050000.0,31.0,33.0
91730,"Riverside, CA",63.811490182403496,Neutral,43577,-1,0,69,531000.0,35.0,32.0
91387,"Los Angeles, CA",66.39847200737309,Neutral,46090,-2,0,68,593000.0,6.0,32.0
92344,"Riverside, CA",59.60136965253561,Neutral,39896,-1,0,69,557990.0,69.0,55.0
91801,"Los Angeles, CA",75.83624381101096,Prime,41008,-2,2,70,860000.0,47.0,33.0
91201,"Los Angeles, CA",40.19265700452809,Neutral,33132,-2,0,68,648000.0,1.0,159.0
91042,"Los Angeles, CA",25.263148554507676,Declining,35895,-2,-5,63,870000.0,1.0,89.0
92595,"Riverside, CA",68.59949150048125,Neutral,36767,-1,0,69,632500.0,65.0,43.0
92308,"Riverside, CA",52.12621743948957,Neutral,32970,-1,0,69,430000.0,160.0,71.5
91505,"Los Angeles, CA",65.32421828937052,Neutral,55611,-2,0,68,1175000.0,37.0,37.0
90305,"Los Angeles, CA",31.85392891160952,Declining,43270,-2,-5,63,1175000.0,1.0,8.0
91107,"Los Angeles, CA",87.76673116309487,Prime,57509,-2,2,70,1387000.0,41.0,20.0
90723,"Los Angeles, CA",44.090644813275354,Neutral,31395,-2,0,68,1130000.0,1.0,48.0
92883,"Riverside, CA",61.025117603647374,Neutral,50170,-1,0,69,795000.0,120.0,58.0
92570,"Riverside, CA",40.964133860776094,Neutral,31952,-1,0,69,510000.0,1.0,153.0
91306,"Los Angeles, CA",50.290711163834736,Neutral,35772,-2,0,68,646500.0,4.0,41.5
90249,"Los Angeles, CA",75.52645651034548,Prime,38086,-2,2,70,796000.0,26.0,27.5
90293,"Los Angeles, CA",23.137297789149585,Declining,74795,-2,-5,63,1928500.0,2.0,247.0
90302,"Los Angeles, CA",41.71829738207079,Neutral,34637,-2,0,68,810000.0,6.0,25.0
90275,"Los Angeles, CA",71.19875437266352,Prime,79451,-2,2,70,934750.0,12.0,28.5
90606,"Los Angeles, CA",73.74577785361502,Prime,38319,-2,2,70,807500.0,38.0,33.0
91773,"Los Angeles, CA",77.1627771446319,Prime,47631,-2,2,70,935000.0,52.0,27.5
91203,"Los Angeles, CA",26.1121726620074,Declining,41284,-2,-5,63,1900000.0,1.0,32.0
91706,"Los Angeles, CA",26.354022890819586,Declining,29881,-2,-5,63,582500.0,4.0,158.0
91310,"Los Angeles, CA",,Neutral,,-2,0,68,965000.0,32.0,41.5
90003,"Los Angeles, CA",38.46780366169899,Neutral,25731,-2,0,68,739000.0,27.0,65.0
90022,"Los Angeles, CA",31.26205501822259,Declining,28036,-2,-5,63,775000.0,19.0,72.0
90036,"Los Angeles, CA",58.54839922551989,Neutral,64004,-2,0,68,2275000.0,15.0,48.0
91324,"Los Angeles, CA",55.33120859934303,Neutral,42249,-2,0,68,685000.0,10.0,56.5
92335,"Riverside, CA",46.406712807864764,Neutral,32757,-1,0,69,367500.0,8.0,31.0
92210,"Riverside, CA",52.648748927293255,Neutral,66243,-1,0,69,1697500.0,90.0,76.5
92507,"Riverside, CA",54.748413476539035,Neutral,30462,-1,0,69,480495.0,8.0,22.5
91750,"Los Angeles, CA",62.530833455540915,Neutral,46535,-2,0,68,1080000.0,41.0,28.0
92263,"Riverside, CA",,Neutral,,-1,0,69,2629545.0,2.0,172.5
